input_id,qkey,question_raw,pred_A,pred_B,pred_C,pred_D,pred_E
id0,SAFECRIME_W26,"How safe, if at all, would you say your local community is from crime? Would you say it is",0.42857142857142855,0.3877551020408163,0.12244897959183673,0.061224489795918366,
id1,WORLDDANGER_W26,"Compared to 50 years ago, do you think",0.25773195876288657,0.5670103092783505,0.17525773195876287,,
id2,WORRYA_W26,"How much, if at all, do you worry about the following happening to you? Having your home broken into",0.25510204081632654,0.40816326530612246,0.33673469387755106,,
id3,WORRYB_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a terrorist attack",0.12244897959183673,0.28571428571428575,0.5918367346938775,,
id4,WORRYC_W26,"How much, if at all, do you worry about the following happening to you? Losing your job",0.25510204081632654,0.35714285714285715,0.3877551020408163,,
id5,WORRYD_W26,"How much, if at all, do you worry about the following happening to you? Not being able to pay your bills",0.28571428571428575,0.3673469387755102,0.34693877551020413,,
id6,WORRYE_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a violent crime",0.25510204081632654,0.40816326530612246,0.33673469387755106,,
id7,WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting",0.25510204081632654,0.35714285714285715,0.3877551020408163,,
id8,WORRYG_W26,"How much, if at all, do you worry about the following happening to you? Having a personal health crisis",0.28571428571428575,0.42857142857142855,0.28571428571428575,,
id9,GUN_W26,"Do you personally own any guns (not including air guns, such as paintball, BB or pellet guns)?",0.32989690721649484,0.6701030927835052,,,
id10,GUN1_W26,"Does anyone else in your household own any guns (not including air guns, such as paintball, BB or pellet guns)?",0.32989690721649484,0.6701030927835052,,,
id11,EVEROWN_W26,"Have you ever owned a gun at any point in your life, or have you never owned a gun?",0.4329896907216495,0.5670103092783506,,,
id12,NEVEROWN_W26,Which best describes you?,0.4329896907216495,0.5670103092783506,,,
id13,GUNTYPEOWNC_W26,Do you currently or have you ever owned a shotgun?,0.25510204081632654,0.15306122448979592,0.5918367346938775,,
id14,EVERSHOT_W26,"Regardless of whether or not you own a gun, have you ever fired a gun?",0.42857142857142855,0.5714285714285715,,,
id15,REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection",0.6842105263157895,0.21052631578947367,0.10526315789473684,,
id16,REASONGUNB_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For hunting",0.2577319587628866,0.30927835051546393,0.4329896907216495,,
id17,REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet",0.25510204081632654,0.35714285714285715,0.3877551020408163,,
id18,REASONGUND_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. As part of a gun collection",0.1836734693877551,0.22448979591836735,0.5918367346938775,,
id19,REASONGUNE_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For my job",0.0816326530612245,0.12244897959183673,0.7959183673469388,,
id20,IMPREASONGUN_W26,Which of the following is the most important reason why you own a gun?,0.6907216494845361,0.15463917525773194,0.08247422680412371,0.041237113402061855,0.03092783505154639
id21,GUNIDENTITY_W26,"How important, if at all, is being a gun owner to your overall identity?",0.1836734693877551,0.22448979591836735,0.25510204081632654,0.33673469387755106,
id22,GUNFRIEND_W26,"As far as you know, how many of your friends, if any, own guns?",0.08247422680412371,0.2268041237113402,0.36082474226804123,0.32989690721649484,
id23,GUNSOCIETY_W26,Do you feel that society in general tends to look at most gun owners in a positive way or a negative way?,0.2777777777777778,0.7222222222222222,,,
id24,GUNCOMMUNITY_W26,Do you feel that people in your local community tend to look at most gun owners in a positive way or a negative way?,0.5454545454545454,0.45454545454545453,,,
